employee_id_hash,name,company_id,tenure_years,gender,marital_status,is_permanent,performance_score,performance_rating,has_promotion,behavior_avg,psychological_score,drive_score,mental_strength_score,adaptability_score,collaboration_score,has_quick_assessment,holistic_score,score_alignment,leadership_potential,perf_beh_ratio,combined_score,score_difference,tenure_category,performance_level,behavioral_level,high_performer,gender_encoded,marital_status_encoded,is_permanent_encoded,performance_rating_encoded,tenure_category_encoded,performance_level_encoded,behavioral_level_encoded
c56e555218c35097e5019b9637c39e51,Vina Sutanto,88,2,F,married,t,65.29,Average,1,64.901,70.912,58.0,63.6,62.8,75.2,1,66.8607,0.9961,66.8216,1.006,65.0967,0.3914,junior,low,low,0,0,0,1,0,0,1,1
ea988edb23c9029dc2aac1ac22de4003,Siti Saputra,81,0,M,married,t,74.26,Average,0,72.4991,75.325,69.8,54.1,89.6,76.5,1,74.0512,0.9824,73.8751,1.0243,73.3793,1.7603,junior,medium,low,0,1,0,1,0,0,2,1
bff50c2ea181e33b1b058283cbcf8011,Deni Prasetyo,77,11,O,married,t,78.51,Good,0,70.4508,72.071,62.1,72.4,68.0,79.3,1,74.1605,0.9194,73.3546,1.1144,74.4804,8.0591,veteran,medium,low,0,0,0,1,2,3,2,1
7c2d743d174bd058cbc94877eb936e10,Bambang Utama,101,5,M,married,t,90.32,Excellent,0,79.3835,100.0,73.8,65.0,90.1,88.7,1,89.9447,0.8906,88.8507,1.1378,84.8539,10.9407,mid,high,medium,1,1,0,1,1,1,0,2
90a25b2dc211c4a7e49807c95514c032,Zainal Situmorang,106,8,M,single,t,80.01,Good,0,81.3367,66.469,66.7,82.2,87.2,89.2,1,76.3459,0.9867,76.4785,0.9837,80.6736,-1.3263,senior,medium,medium,0,1,1,1,2,2,2,2
4e4d86c64f3257ae9a00831f20b91b67,Sri Harahap,107,3,F,married,t,76.44,Good,0,63.4656,72.723,45.2,69.3,64.4,75.0,1,71.4329,0.8702,70.1354,1.2044,69.9531,12.975,mid,medium,low,0,0,0,1,2,1,2,1
6cc136aa97d7caedccb8c64adc9a35a6,Rahmat Purnama,74,4,M,single,t,66.14,Average,0,47.3955,40.826,59.6,48.9,42.3,38.8,1,52.9239,0.8125,51.0491,1.3956,56.7696,18.7482,mid,low,low,0,1,1,1,0,1,1,1
602b106a48456570061af97a2a212ac9,Maya Hutabarat,101,8,F,married,t,100.0,Excellent,1,83.3823,77.477,83.3,77.4,89.2,83.6,1,88.2579,0.8338,86.5961,1.1993,91.6911,16.6177,senior,high,medium,1,0,0,1,1,2,0,2
f2bfaf235471283c200dc89b4cfa0ac1,Widya Manurung,98,1,M,married,t,53.72,Below Average,0,51.3709,56.24,50.6,49.6,31.3,74.0,1,53.772,0.9765,53.537,1.0458,52.5463,2.3508,junior,low,low,0,1,0,1,3,0,1,1
655d56096b596e492b0274a51156761c,Ahmad Sitompul,96,2,M,married,t,73.67,Average,0,70.9909,77.109,73.2,69.2,55.6,86.0,1,73.8962,0.9733,73.6287,1.0377,72.3283,2.6749,junior,medium,low,0,1,0,1,0,0,2,1
